lsoa_code,Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score,crime_count,population,crime_rate,log_crime_rate,latitude,longitude
E01024608,31.634,0.157,0.134,28.489,0.346,21.293,37.14,6,2141.0,2.8,1.33500106673234,51.339813666666664,0.7379635000000001
E01024609,77.896,0.439,0.336,79.636,1.749,19.283,47.179,4,1440.0,2.78,1.3297240096314962,51.44128175,0.76206525
E01024610,57.146,0.328,0.217,70.626,0.901,19.936,54.231,1,1797.0,0.56,0.44468582126144574,51.440005,0.784834
E01024611,51.952,0.327,0.2,62.438,0.998,17.86,33.581,3,1706.0,1.76,1.0152306797290584,51.437905,0.7688526666666666
E01024612,48.488,0.26,0.197,62.752,0.527,16.135,39.903,2,1706.0,1.17,0.7747271675523681,51.437523999999996,0.7694295
E01024613,62.466,0.305,0.255,84.467,1.245,20.707,47.748,2,1627.0,1.23,0.8020015854720274,51.4416675,0.7514099999999999
E01024615,66.056,0.381,0.343,91.514,1.625,21.289,9.045,4,1516.0,2.64,1.2919836816486494,51.430966749999996,0.749026
E01024616,48.648,0.295,0.211,68.327,1.115,21.3,11.522,1,1806.0,0.55,0.4382549309311553,51.428757,0.75467
E01024619,18.379,0.101,0.093,32.338,0.302,17.906,8.397,1,1454.0,0.69,0.5247285289349821,51.421735,0.788772
E01024620,28.426,0.139,0.125,35.666,0.231,29.345,17.151,1,1618.0,0.62,0.4824261492442927,51.406702,0.828712
E01024623,21.836,0.128,0.113,33.98,0.085,16.116,20.817,1,2270.0,0.44,0.3646431135879093,51.329503,0.802249
E01024624,23.76,0.121,0.097,21.543,-0.088,30.381,40.427,1,3059.0,0.33,0.2851789422336624,51.323799,0.795944
E01024625,10.44,0.056,0.049,7.092,-0.449,28.19,11.942,2,1892.0,1.06,0.7227059828014898,51.30897,0.892451
E01024626,5.939,0.032,0.023,3.887,-0.471,11.605,22.095,1,2401.0,0.42,0.3506568716131694,51.307723,0.888297
E01024627,36.495,0.231,0.182,50.775,0.802,19.42,7.987,1,2007.0,0.5,0.4054651081081644,51.315222,0.871948
E01024631,4.489,0.041,0.029,2.907,-0.581,23.237,4.444,2,1699.0,1.18,0.7793248768009976,51.326591500000006,0.7304165
E01024635,12.589,0.084,0.073,9.391,-0.034,21.23,8.693,1,1688.0,0.59,0.4637340162321401,51.374416,1.429028
E01024637,10.717,0.059,0.069,8.315,-0.056,23.371,4.122,1,1752.0,0.57,0.4510756193602166,51.376951,1.279667
E01024638,20.066,0.122,0.107,25.854,0.268,22.888,8.187,1,1679.0,0.6,0.4700036292457356,51.376838,1.313363
E01024640,24.786,0.142,0.141,32.654,0.296,25.425,8.431,1,1698.0,0.59,0.4637340162321401,51.368889,1.30819
E01024645,25.247,0.152,0.122,19.541,0.215,17.92,18.86,1,1608.0,0.62,0.4824261492442927,51.341501,1.409363
E01024646,35.616,0.197,0.169,19.034,0.668,22.523,27.745,1,2044.0,0.49,0.3987761199573678,51.332427,1.41976
E01024648,40.429,0.245,0.202,19.864,0.836,19.698,36.59,1,1513.0,0.66,0.5068176023684519,51.334348,1.411904
E01024649,45.472,0.253,0.219,27.736,0.8,24.101,35.257,1,1815.0,0.55,0.4382549309311553,51.330328,1.41587
E01024650,13.599,0.077,0.079,11.453,-0.161,14.768,9.062,1,1510.0,0.66,0.5068176023684519,51.330347,1.394808
E01024654,18.02,0.136,0.083,17.925,0.084,27.025,2.939,1,1578.0,0.63,0.48858001481867097,51.383332,1.426187
E01024657,74.458,0.428,0.304,86.617,1.589,22.359,27.524,3,2528.0,1.19,0.7839015438284094,51.38961466666667,1.3911499999999999
E01024658,58.82,0.329,0.267,76.157,0.8,23.553,32.17,2,2281.0,0.88,0.6312717768418579,51.390277499999996,1.396521
E01024659,41.721,0.229,0.205,45.078,1.061,18.072,26.48,1,1711.0,0.58,0.4574248470388754,51.386996,1.39676
E01024661,47.195,0.278,0.196,58.571,0.815,21.056,25.886,1,1595.0,0.63,0.48858001481867097,51.388933,1.39075
E01024664,40.695,0.242,0.196,36.184,0.668,19.438,36.767,1,1622.0,0.62,0.4824261492442927,51.382728,1.392562
E01024666,59.824,0.357,0.299,66.587,0.997,24.092,10.162,1,1594.0,0.63,0.48858001481867097,51.377584,1.406167
E01024667,58.785,0.331,0.271,60.991,1.031,21.481,18.757,3,1832.0,1.64,0.9707789171582248,51.336207,1.422784
E01024670,43.586,0.245,0.172,38.408,0.679,22.267,36.922,1,1738.0,0.58,0.4574248470388754,51.338669,1.417956
E01024675,12.943,0.064,0.063,9.716,-0.614,36.575,10.08,1,2200.0,0.45,0.37156355643248307,51.387689,1.437108
E01024676,76.553,0.4,0.323,67.769,1.889,23.034,46.782,5,2071.0,2.41,1.2267122912954254,51.386884599999995,1.3806556
E01024682,49.613,0.335,0.232,63.126,0.89,26.107,5.498,2,2327.0,0.86,0.6205764877251099,51.34204,1.390516
E01024683,69.77,0.424,0.35,71.423,1.638,23.608,6.527,1,1684.0,0.59,0.4637340162321401,51.347313,1.394468
E01024685,38.556,0.213,0.16,54.837,0.705,17.827,17.78,1,1740.0,0.57,0.4510756193602166,51.345232,1.400792
E01024686,37.886,0.181,0.199,52.07,0.82,17.147,9.405,2,1677.0,1.19,0.7839015438284094,51.347241,1.407476
E01024696,25.84,0.143,0.116,27.925,0.646,34.919,10.923,1,1563.0,0.64,0.49469624183610705,51.364102,1.394015
E01024697,48.894,0.277,0.219,48.611,0.865,34.069,20.387,1,1235.0,0.81,0.5933268452777344,51.382197,1.379514
E01024708,9.94,0.06,0.066,13.462,-0.393,20.887,3.262,2,1971.0,1.01,0.6981347220709844,51.351915500000004,1.4378615
E01024709,17.55,0.102,0.075,11.433,0.272,23.715,8.306,1,1389.0,0.72,0.5423242908253617,51.353612,1.425246
E01024712,11.319,0.068,0.057,16.371,-0.298,16.962,18.811,1,1600.0,0.62,0.4824261492442927,51.385309,1.356699
E01024714,24.754,0.15,0.144,22.333,0.514,16.954,16.557,1,1698.0,0.59,0.4637340162321401,51.380148,1.334918
E01024716,15.636,0.106,0.088,18.723,-0.381,19.98,22.769,1,2075.0,0.48,0.3920420877760237,51.376895,1.335745
E01024717,36.607,0.225,0.171,35.987,0.474,44.304,19.037,3,2301.0,1.3,0.832909122935104,51.283589000000006,0.47924666666666665
E01024719,15.041,0.066,0.063,19.294,-0.744,38.457,14.577,1,2314.0,0.43,0.35767444427181594,51.300696,0.463598
E01024721,12.792,0.028,0.034,6.902,-0.749,41.254,24.535,1,1365.0,0.73,0.5481214085096876,51.33488,0.505172
E01024724,7.114,0.037,0.026,6.87,-1.405,32.093,16.455,3,2093.0,1.43,0.8878912573524571,51.297549000000004,0.33992466666666665
E01024725,4.37,0.043,0.035,4.975,-1.35,7.04,17.88,2,2139.0,0.94,0.6626879730752367,51.292157,0.307124
E01024726,12.54,0.112,0.066,22.45,-0.831,14.218,7.734,1,1855.0,0.54,0.43178241642553783,51.291767,0.302701
E01024734,12.08,0.071,0.064,6.356,-0.392,30.677,4.323,1,1640.0,0.61,0.4762341789963716,51.203239,0.266158
E01024736,16.758,0.139,0.087,28.369,-0.359,11.973,11.701,1,1782.0,0.56,0.44468582126144574,51.286269,0.459814
E01024737,12.374,0.092,0.061,18.925,-0.92,29.113,7.382,2,2511.0,0.8,0.5877866649021191,51.310898,0.451431
E01024740,13.994,0.062,0.065,13.177,-1.052,33.997,14.393,1,2001.0,0.5,0.4054651081081644,51.287588,0.439303
E01024745,6.078,0.039,0.035,5.433,-1.493,16.411,29.376,1,1852.0,0.54,0.43178241642553783,51.227151,0.332589
E01024746,18.638,0.054,0.05,7.001,-0.513,45.402,44.703,1,1093.0,0.91,0.6471032420585384,51.259868,0.380471
E01024751,3.887,0.026,0.041,6.061,-1.028,15.544,6.745,2,1467.0,1.36,0.8586616190375187,51.212433,0.299685
E01024752,1.847,0.025,0.017,4.127,-1.754,17.13,1.863,1,1642.0,0.61,0.4762341789963716,51.209221,0.25169
E01024754,7.685,0.043,0.045,5.114,-1.13,29.362,13.491,2,1727.0,1.16,0.7701082216960736,51.216045,0.243818
E01024757,7.071,0.049,0.04,5.239,-0.736,12.255,18.88,1,1625.0,0.62,0.4824261492442927,51.191603,0.270267
E01024758,12.178,0.076,0.059,7.723,-0.763,37.999,7.212,1,1710.0,0.58,0.4574248470388754,51.186953,0.256329
E01024767,24.655,0.18,0.13,34.716,-0.254,24.956,8.641,4,2107.0,1.9,1.0647107369924282,51.187560999999995,0.28526275
E01024768,4.433,0.039,0.035,2.39,-1.177,15.032,10.823,2,1824.0,1.1,0.7419373447293773,51.197559,0.281009
E01024771,25.6,0.158,0.106,35.64,0.25,24.218,13.442,4,1917.0,2.09,1.128171090909654,51.33122,0.44493475
E01024773,8.37,0.051,0.048,24.431,-0.384,13.484,6.649,1,1725.0,0.58,0.4574248470388754,51.331377,0.431563
E01024775,37.474,0.224,0.169,62.855,0.331,19.632,6.601,2,1653.0,1.21,0.7929925155296614,51.2129275,0.27599799999999997
E01024776,21.937,0.154,0.129,35.59,-0.251,16.202,3.664,1,1427.0,0.7,0.5306282510621704,51.219438,0.275374
E01024779,9.736,0.077,0.049,6.851,-0.451,18.834,19.059,1,1846.0,0.54,0.43178241642553783,51.189601,0.273317
E01024780,14.01,0.113,0.065,15.573,-0.739,29.895,9.139,1,1536.0,0.65,0.5007752879124893,51.179535,0.277129
E01024783,17.626,0.122,0.1,19.073,-0.314,15.053,22.135,5,1673.0,2.99,1.3837912309017721,51.290566999999996,0.40697400000000006
E01024785,5.839,0.051,0.043,10.215,-0.998,19.646,5.872,1,1589.0,0.63,0.48858001481867097,51.302729,0.430852
E01024786,20.661,0.107,0.076,14.919,-0.576,38.726,33.15,1,2024.0,0.49,0.3987761199573678,51.315639,0.269368
E01024791,6.239,0.04,0.045,4.536,-1.378,20.54,13.905,1,1368.0,0.73,0.5481214085096876,51.116312,0.516563
E01024795,28.339,0.195,0.136,61.038,-0.321,16.978,2.953,1,1609.0,0.62,0.4824261492442927,51.120704,0.248112
