lsoa_code,dominant_crime,latitude,longitude
E01000477,Violence and sexual offences,51.541303,-0.28375
E01000478,Violence and sexual offences,51.540406,-0.293777
E01000479,Violence and sexual offences,51.568586,-0.26851
E01000480,Violence and sexual offences,51.5689435,-0.279656
E01000481,Violence and sexual offences,51.568034,-0.274332
E01000483,Violence and sexual offences,51.564378,-0.263912
E01000484,Violence and sexual offences,51.5783365,-0.286973
E01000485,Violence and sexual offences,51.578091,-0.29074500000000003
E01000486,Violence and sexual offences,51.571816,-0.2864335
E01000487,Violence and sexual offences,51.571966,-0.287441
E01000488,Violence and sexual offences,51.543635,-0.230063
E01000489,Violence and sexual offences,51.543173,-0.221578
E01000490,Violence and sexual offences,51.545725,-0.202561
E01000491,Violence and sexual offences,51.540644,-0.214874
E01000492,Violence and sexual offences,51.542357,-0.225854
E01000493,Violence and sexual offences,51.538381,-0.225901
E01000494,Violence and sexual offences,51.546296,-0.21461
E01000495,Violence and sexual offences,51.546341,-0.203979
E01000497,Violence and sexual offences,51.565799,-0.2273305
E01000498,Violence and sexual offences,51.567247,-0.239332
E01000499,Violence and sexual offences,51.568199,-0.234388
E01000501,Violence and sexual offences,51.563233,-0.233606
E01000502,Violence and sexual offences,51.561809,-0.238471
E01000503,Violence and sexual offences,51.560885,-0.229434
E01000504,Violence and sexual offences,51.552156,-0.224341
E01000505,Violence and sexual offences,51.551284,-0.229909
E01000506,Violence and sexual offences,51.551734,-0.244212
E01000507,Violence and sexual offences,51.553791,-0.234435
E01000508,Violence and sexual offences,51.548783,-0.247715
E01000509,Violence and sexual offences,51.561684,-0.250594
E01000510,Violence and sexual offences,51.559497,-0.250049
E01000511,Violence and sexual offences,51.556738,-0.247382
E01000512,Violence and sexual offences,51.555192,-0.240977
E01000513,Violence and sexual offences,51.585655,-0.253529
E01000514,Violence and sexual offences,51.584906,-0.260197
E01000515,Violence and sexual offences,51.584547,-0.269679
E01000516,Violence and sexual offences,51.588359999999994,-0.256285
E01000517,Violence and sexual offences,51.585186,-0.27706
E01000518,Violence and sexual offences,51.580552,-0.260324
E01000519,Violence and sexual offences,51.576699,-0.263104
E01000520,Violence and sexual offences,51.588425,-0.263714
E01000521,Violence and sexual offences,51.539856,-0.253298
E01000522,Violence and sexual offences,51.541703999999996,-0.245702
E01000523,Violence and sexual offences,51.539045,-0.250313
E01000524,Violence and sexual offences,51.536849,-0.247746
E01000525,Violence and sexual offences,51.534899,-0.251887
E01000526,Violence and sexual offences,51.5468,-0.251215
E01000527,Violence and sexual offences,51.543339,-0.250072
E01000528,Violence and sexual offences,51.543315,-0.253744
E01000530,Violence and sexual offences,51.534989,-0.230824
E01000531,Violence and sexual offences,51.531425,-0.231988
E01000532,Violence and sexual offences,51.531641,-0.22703
E01000533,Violence and sexual offences,51.53791,-0.24321
E01000534,Violence and sexual offences,51.536433,-0.235116
E01000535,Violence and sexual offences,51.535354,-0.239641
E01000536,Violence and sexual offences,51.58223,-0.315623
E01000538,Violence and sexual offences,51.5808085,-0.3032765
E01000539,Violence and sexual offences,51.579518,-0.2938
E01000540,Violence and sexual offences,51.576879,-0.306411
E01000541,Violence and sexual offences,51.585656,-0.300087
E01000543,Violence and sexual offences,51.583435,-0.28429
E01000544,Violence and sexual offences,51.529315499999996,-0.196962
E01000545,Violence and sexual offences,51.543631,-0.200608
E01000546,Violence and sexual offences,51.54079,-0.202683
E01000547,Violence and sexual offences,51.540291,-0.199462
E01000548,Violence and sexual offences,51.539274,-0.195526
E01000549,Violence and sexual offences,51.53837,-0.199517
E01000550,Violence and sexual offences,51.536275,-0.192388
E01000551,Violence and sexual offences,51.533704,-0.199903
E01000552,Violence and sexual offences,51.531787,-0.194121
E01000553,Violence and sexual offences,51.558866,-0.219674
E01000554,Violence and sexual offences,51.55911,-0.223471
E01000555,Violence and sexual offences,51.5551625,-0.22280450000000002
E01000556,Violence and sexual offences,51.554799,-0.215383
E01000557,Violence and sexual offences,51.554865,-0.220509
E01000558,Violence and sexual offences,51.552389,-0.210231
